	model	f1	precision	recall	hamming	accuracy	syncretism	genetic_distance	dimension	src_iso	tgt_iso
12	union	0.79	0.749	0.836	0.055	0.836	0.08295710219653045	0.0	Number	mkd	ukr
10	src_labels	0.785	0.826	0.747	0.05	0.747	0.08295710219653045	0.0	Number	mkd	ukr
13	intersec	0.687	0.861	0.571	0.065	0.571	0.08295710219653045	0.0	Number	mkd	ukr
20	src_labels	0.667	0.579	0.786	0.003	0.786	0.08295710219653045	0.0	Mood	mkd	ukr
11	tgt_labels	0.66	0.707	0.619	0.081	0.619	0.08295710219653045	0.0	Number	mkd	ukr
5	src_labels	0.636	0.512	0.84	0.027	0.84	0.08295710219653045	0.0	Person	mkd	ukr
25	src_labels	0.547	0.469	0.657	0.034	0.657	0.08295710219653045	0.0	Tense	mkd	ukr
30	src_labels	0.524	0.599	0.465	0.019	0.465	0.08295710219653045	0.0	all	mkd	ukr
22	union	0.478	0.344	0.786	0.005	0.786	0.08295710219653045	0.0	Mood	mkd	ukr
23	intersec	0.471	0.522	0.429	0.003	0.429	0.08295710219653045	0.0	Mood	mkd	ukr
32	union	0.457	0.445	0.47	0.025	0.47	0.08295710219653045	0.0	all	mkd	ukr
14	baseline	0.435	0.339	0.609	0.195	0.609			Number	mkd	ukr
7	union	0.412	0.269	0.881	0.053	0.881	0.08295710219653045	0.0	Person	mkd	ukr
27	union	0.384	0.259	0.738	0.057	0.738	0.08295710219653045	0.0	Tense	mkd	ukr
33	intersec	0.372	0.549	0.281	0.021	0.281	0.08295710219653045	0.0	all	mkd	ukr
8	intersec	0.359	0.316	0.416	0.032	0.416	0.08295710219653045	0.0	Person	mkd	ukr
31	tgt_labels	0.328	0.371	0.294	0.028	0.294	0.08295710219653045	0.0	all	mkd	ukr
15	src_labels	0.304	0.264	0.359	0.003	0.359	0.08295710219653045	0.0	Gender	mkd	ukr
28	intersec	0.302	0.279	0.33	0.037	0.33	0.08295710219653045	0.0	Tense	mkd	ukr
21	tgt_labels	0.264	0.212	0.35	0.005	0.35	0.08295710219653045	0.0	Mood	mkd	ukr
34	baseline	0.258	0.198	0.372	0.049	0.372			all	mkd	ukr
17	union	0.247	0.179	0.396	0.005	0.396	0.08295710219653045	0.0	Gender	mkd	ukr
26	tgt_labels	0.218	0.156	0.364	0.061	0.364	0.08295710219653045	0.0	Tense	mkd	ukr
6	tgt_labels	0.181	0.123	0.338	0.062	0.338	0.08295710219653045	0.0	Person	mkd	ukr
18	intersec	0.165	0.189	0.146	0.003	0.146	0.08295710219653045	0.0	Gender	mkd	ukr
16	tgt_labels	0.151	0.123	0.194	0.004	0.194	0.08295710219653045	0.0	Gender	mkd	ukr
4	baseline	0.141	0.121	0.169	0.064	0.169			Case	mkd	ukr
0	src_labels	0.126	0.324	0.078	0.029	0.078	0.08295710219653045	0.0	Case	mkd	ukr
2	union	0.12	0.272	0.077	0.035	0.077	0.08295710219653045	0.0	Case	mkd	ukr
1	tgt_labels	0.077	0.239	0.046	0.037	0.046	0.08295710219653045	0.0	Case	mkd	ukr
9	baseline	0.073	0.04	0.371	0.206	0.371			Person	mkd	ukr
29	baseline	0.072	0.04	0.351	0.23	0.351			Tense	mkd	ukr
24	baseline	0.066	0.034	1.0	0.097	1.0			Mood	mkd	ukr
3	intersec	0.056	0.222	0.032	0.034	0.032	0.08295710219653045	0.0	Case	mkd	ukr
19	baseline	0.035	0.019	0.286	0.04	0.286			Gender	mkd	ukr
